Type,BodyPart,Equipment,Level,Cardiovascular_Safe,Title,Desc
Cardio,Quadriceps,Body Only,Intermediate,0,Burpeado,"El burpee es un ejercicio de alta intensidad que recluta a todo el cuerpo para desarrollar resistencia y capacidad aeróbica. Es común en los entrenamientos CrossFit y las clases de acondicionamiento físico grupal, pero también se puede realizar para el tiempo o los representantes en cualquier circuito o entrenamiento centrado en la pérdida de grasa o atletismo."
Cardio,Quadriceps,Body Only,Intermediate,1,Caminata de cinta de correr,"La cinta de correr es un ejercicio cardiovascular popular realizado en una máquina que está disponible en la mayoría de los gimnasios. Realizar este ejercicio en una cinta de correr le permite ajustar la velocidad de su caminata y, dependiendo de la máquina, realizarlo en una inclinación ajustable. Muchas máquinas también tienen monitores y temporizadores de frecuencia cardíaca incorporados para ayudarlo a rastrear su progreso."
Cardio,Quadriceps,Body Only,Intermediate,1,Rodillas,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Cardio,Quadriceps,Body Only,Intermediate,0,Jack Jack,"El Jumping Jack es un ejercicio clásico de calistenia para mejorar el acondicionamiento general. Es uno de los ejercicios más reconocibles del planeta, y es casi sinónimo de entrenamiento para reclutas militares. Se puede hacer por tiempo o repeticiones, a menudo en calentamientos dinámicos o para movilizar las caderas y los hombros."
Cardio,Quadriceps,Body Only,Intermediate,1,Carrera de lanzadera,"El transbordador es un taladro de acondicionamiento deportivo que es excelente para desarrollar la velocidad y la potencia, así como cambiar la dirección. Es uno de los favoritos de los jugadores de fútbol y baloncesto, pero también puede ser un excelente trabajo de acondicionamiento para levantadores y atletas de todos los niveles de habilidad."
Cardio,Shoulders,Body Only,Intermediate,1,Boxeo de la sombra,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Cardio,Shoulders,Body Only,Intermediate,1,Bear Rate Fire Fire Feet,"Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. Agrega una coordinación adicional y un desafío de cuerpo completo a un movimiento de cuerpo completo ya intenso que se dirige al sistema cardiovascular, así como a una amplia gama de grupos musculares. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow."
Plyometrics,Abdominals,Other,Intermediate,1,Sledgehammer Swing,El columpio de Sledgehammer es un ejercicio que trabaja en los abdominales y muchos otros músculos. El trineo se golpea desde la cabeza en un neumático que absorbe el impacto y hace que el martillo se recupere. Se puede realizar para el tiempo o los representantes como parte de un ejercicio funcional o entrenamiento centrado en el atletismo.
Plyometrics,Abdominals,Body Only,Intermediate,1,Alpinista,"El escalador de montaña es un popular ejercicio de peso corporal dirigido a los músculos del núcleo, así como a los hombros, las caderas y el sistema cardiovascular. Implica levantar una rodilla al cofre a la vez desde una posición de tabla de brazo recto. Se puede realizar para el tiempo o las repeticiones como parte de un calentamiento dinámico, para cardio o acondicionamiento de peso corporal, o como entrenamiento de núcleo dinámico sin equipos."
Plyometrics,Abdominals,Body Only,Intermediate,1,Escalador de montaña de pared,"El Wall Mountain Worter es un ejercicio desafiante dirigido a los hombros y los abdominales. Es más común en el entrenamiento de circuitos de peso corporal porque se dirige a muchos músculos, así como al sistema cardiovascular a la vez. Se puede realizar para tiempo o repeticiones."
Plyometrics,Abdominals,Body Only,Intermediate,1,Salta de slalom,"The slalom jump is an explosive bodyweight exercise that targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. Se puede realizar para tiempo o repeticiones y es especialmente efectivo en un circuito o entrenamiento centrado en la pérdida de grasa o atletismo."
Plyometrics,Abdominals,Medicine Ball,Intermediate,1,Set-up con tiro de un solo brazo,"El sentimiento con lanzamiento de un solo brazo es un ejercicio dirigido a los músculos centrales, pero la inclusión del lanzamiento también trae en otros músculos de la parte superior del cuerpo. Cuando llegas a la parte superior de la posición de abdominales, arrojas una bola de medicina usando un brazo a un compañero que luego te lo arroja de vuelta para que te atrapen con ambas manos. Se puede realizar para el tiempo o los representantes como parte de la parte centrada en AB de cualquier entrenamiento."
Plyometrics,Abdominals,Medicine Ball,Intermediate,1,Twist de pareja de bola de medicina,"El giro de la pareja de la bola de medicina es un ejercicio de pliométricos dirigido a los músculos centrales, particularmente a los oblicuos. Usted y un compañero se detienen hacia atrás y giran al unísono para pasar una pelota de medicamentos de un lado a otro en lados alternativos."
Plyometrics,Adductors,Other,Intermediate,1,Salto de caja lateral,"El salto de caja lateral es un ejercicio pliométrico dirigido a la agilidad lateral y la fuerza de la parte inferior del cuerpo. Es un gran movimiento para los atletas en muchos deportes, incluidos el baloncesto, el esquí y el tenis."
Plyometrics,Adductors,Body Only,Intermediate,1,Salto lateral,"The lateral hop is an explosive bodyweight exercise that consists of a two-legged hop to the side. It targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. Se puede realizar para tiempo o repeticiones y es especialmente efectivo en un circuito o entrenamiento centrado en la pérdida de grasa o atletismo."
Plyometrics,Adductors,Body Only,Intermediate,1,Paso rápido de carioca,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Plyometrics,Adductors,Body Only,Intermediate,1,Hop de cono lateral,"The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. Se puede realizar para repeticiones o para el tiempo y puede ser beneficioso para atletas de pista, jugadores de baloncesto o cualquier otro atleta que necesite un poder lateral explosivo."
Plyometrics,Chest,Body Only,Beginner,1,Flexión,"La flexión de Plyo es un ejercicio de peso corporal destinado a aumentar la potencia y la fuerza de la parte superior del cuerpo. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning."
Plyometrics,Chest,Body Only,Beginner,1,Flexión de aplausos,"También conocido como flexión de Plyo, la flexión de aplausos es un ejercicio de peso corporal destinado a aumentar la potencia y la fuerza de la parte superior del cuerpo. Se dirige a los músculos del cofre, los tríceps y los hombros, y puede ser entrenado en repeticiones bajas para poder y fuerza, o repeticiones más altas para acondicionamiento."
Plyometrics,Chest,Medicine Ball,Intermediate,1,Pase de cofre de bola de medicina,"Medicine Ball Pass es un simple ejercicio basado en la pareja que implica lanzar una pelota ponderada de ida y vuelta. Puede ser parte de un calentamiento dinámico para el levantamiento o el atletismo, pero también puede funcionar como un descanso activo o como un componente del entrenamiento de circuito."
Plyometrics,Chest,Other,Beginner,1,Máquina de empuje de barra Smith,"La flexión de manos elegidas es una variación de la flexión, un estándar de peso corporal. Las manos están elevadas, de modo que su cuerpo esté alineado en ángulo con el piso en lugar de paralelo."
Plyometrics,Hamstrings,Other,Beginner,1,Salto,"El salto de la caja es un ejercicio explosivo que fortalece los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos, los terneros y los isquiotibiales. They also develop power in the lower body while revving the heart rate. Box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. Most coaches recommend stepping down rather than jumping down between reps."
Plyometrics,Hamstrings,Other,Intermediate,0,Salto de caja (respuesta múltiple),"El salto de la caja es un ejercicio pliométrico que fortalece los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos, las pantorrillas y los isquiotibiales. También desarrollan poder en la parte inferior del cuerpo mientras aceleran la frecuencia cardíaca."
Plyometrics,Hamstrings,Body Only,Intermediate,0,Salto de la rodilla,"El salto Tuck es un salto vertical, un ejercicio explosivo en la parte inferior del cuerpo que es una forma común de medir la cadera explosiva y la fuerza de la parte inferior del cuerpo en los atletas. Cuanto más explosivo seas, más alto podrás saltar."
Plyometrics,Lats,Body Only,Intermediate,0,Burpee para pull-up,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Plyometrics,Lats,Medicine Ball,Intermediate,1,Slam de bola de medicina,"El Slam Ball Ball es un ejercicio explosivo para desarrollar potencia, fuerza y ​​velocidad. Los músculos trabajados incluyen los abdominales, las piernas, los tríceps, los hombros y los LAT. Los slams generalmente se realizan en rápida sucesión para completar un conjunto. También puede ser un componente de un entrenamiento de circuito centrado en el poder o el atletismo."
Plyometrics,Quadriceps,Kettlebells,Intermediate,1,Pies de fuego de Kettlebell,"Kettlebell Fire Feet es un movimiento dinámico que funciona la mayoría de los principales grupos musculares en el cuerpo simultáneamente, al tiempo que eleva la frecuencia cardíaca. Es un gran movimiento para incluir en Kettlebell o entrenamiento de circuitos de peso corporal para aumentar la fatiga y quemar calorías serias."
Plyometrics,Quadriceps,Dumbbell,Intermediate,1,Salto de caja sentada con mancuernas,"El salto de caja sentada con mancuernas es un ejercicio explosivo que construye los cuádriceps y la fuerza general de la parte inferior del cuerpo y la explosividad. Todo lo que necesitas es una caja, un banco y una pesa ligera. Realizarlo desde una posición sentada elimina el reflejo de estiramiento en la parte inferior del cuerpo, lo que lo obliga a generar más potencia. Este es un movimiento avanzado, así que considere comenzar con saltos de caja o saltos en cuclillas antes de progresar a esto."
Plyometrics,Quadriceps,Dumbbell,Intermediate,1,Salto lateral con mancuernas,"El salto lateral de las pesas es un ejercicio explosivo que se dirige a los músculos de las caderas y las piernas. Agregar pesas también agrega un desafío al núcleo. Debido a que el equilibrio puede ser un desafío, generalmente se realiza con pesos relativamente livianos, a menudo como un componente de la pérdida de grasa o el entrenamiento atlético."
Plyometrics,Quadriceps,Dumbbell,Intermediate,1,Squat de salto de mancuernas,"La sentadilla de salto de mancuernas es un movimiento popular que combina un movimiento explosivo de la parte inferior del cuerpo con carga adicional de la parte superior del cuerpo en forma de pesas que se sujetan en las manos. Hecho con pesas más pesadas, se puede entrenar para repeticiones bajas con un enfoque de potencia. Con pesos ligeros, a menudo se realiza para repeticiones más altas para la pérdida de grasa y el acondicionamiento."
Plyometrics,Quadriceps,Other,Intermediate,1,Saltar,"El salto de banco es un ejercicio explosivo en la parte inferior del cuerpo que implica alternar la posición de los pies en la parte superior de un banco. Principalmente se dirige a los músculos de la parte inferior del cuerpo, pero también es un desafío cardiovascular grave. A menudo se realiza para altas repeticiones o para el tiempo como parte de un entrenamiento o circuito o circuito centrado en el atletismo o el atletismo."
Plyometrics,Quadriceps,Other,Intermediate,0,Burpee sobre Barbell,"El Burpee Over Barbell es un ejercicio que toma el burpee, un movimiento de aptitud funcional popular, y separa cada representante con un salto lateral a través de la barra. Funciona el sistema cardiovascular, pero también el cofre, los quads, los glúteos, los isquiotibiales y los abdominales. Este ejercicio es el favorito de muchos atletas, incluidos los participantes de la carrera de obstáculos."
Plyometrics,Quadriceps,Other,Intermediate,1,Taladro de sprint de un solo cono,"El taladro de sprint de un solo cono es un taladro de agilidad que implica moverse rápidamente alrededor de un solo cono. Exige que un atleta comience, se detenga y cambie las instrucciones, todo en un corto período de tiempo y un pequeño espacio. Puede ser beneficioso para los jugadores de fútbol y otros atletas donde los cambios rápidos de dirección son importantes."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Skip de caja de lado a lado,"El salto de la caja de lado a lado es un ejercicio explosivo en la parte inferior del cuerpo que implica saltar lateralmente sobre un banco o caja, aterrizar con un pie en la parte superior de la superficie y luego cambiar de posición. Principalmente se dirige a los músculos de la parte inferior del cuerpo, pero también es un desafío cardiovascular grave. A menudo se realiza para altas repeticiones o para el tiempo como parte de un entrenamiento o circuito o circuito centrado en el atletismo o el atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Salto de longitud,"El salto amplio es un ejercicio explosivo en la parte inferior del cuerpo. Es una forma común de medir la cadera explosiva y la fuerza de la parte inferior del cuerpo en los atletas. Cuanto más explosivo estés, más lejos podrás saltar."
Plyometrics,Quadriceps,Body Only,Expert,0,Salto de tijera,"El salto de lámpara alternativo es un ejercicio explosivo de peso corporal que se dirige a los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales. Se puede realizar para el tiempo o los representantes en el entrenamiento de energía, y también es efectivo en cualquier entrenamiento centrado en la pérdida de grasa o el atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,0,Jack Jack-,"El Jumping Jack es un ejercicio clásico de calistenia para mejorar el acondicionamiento general. Es uno de los ejercicios más reconocibles del planeta, y es casi sinónimo de entrenamiento para reclutas militares. Se puede hacer por tiempo o repeticiones, a menudo en calentamientos dinámicos o para movilizar las caderas y los hombros."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Salto de salto de salto de profundidad,"El salto de salto de profundidad es un ejercicio pliométrico que implica saltar de una caja, caer en una sentadilla y luego saltar sobre otra caja. Todos estos se realizan con fluidez para completar una repetición. Los saltos de profundidad han sido un elemento básico de la programación deportiva de alto nivel durante décadas. Por lo general, se realizan para repeticiones bajas con un enfoque en la potencia y la técnica. Si se lastiman las rodillas o la espalda, considere realizar saltos de caja o saltos en cuclillas."
Plyometrics,Quadriceps,Body Only,Intermediate,0,Saltar en cuclillas,"La sentadilla de salto es un ejercicio explosivo de peso corporal dirigido a los quads, los isquiotibiales y los glúteos. También es un desafío cardiovascular serio cuando se realiza para los representantes. Se puede realizar como un ejercicio de poder para construir poder de salto, o en cualquier entrenamiento de pérdida de grasa o atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Sobre salto de banco,El salto de banco Over es un ejercicio pliométrico que requiere solo un banco de peso para realizar. Mejora la capacidad de salto y el atletismo mientras se quema muchas calorías.
Plyometrics,Quadriceps,Body Only,Intermediate,0,Salto dividido,"El salto de lámpara alternativo es un ejercicio explosivo de peso corporal que se dirige a los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales. Se puede realizar para el tiempo o los representantes en el entrenamiento de energía, y también es efectivo en cualquier entrenamiento centrado en la pérdida de grasa o el atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,S.CRAT de salto de 90 grados,"La sentadilla de salto de 90 grados es un ejercicio explosivo de peso corporal que se dirige a los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales, así como el sistema cardiovascular. Se puede realizar para tiempo o repeticiones, generalmente en un entrenamiento de circuito de pérdida de grasa o atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Saltar,"El Skip es un ejercicio que genera poder y explosividad en las piernas. Es comúnmente realizado por niños y en clases de gimnasia, pero también es excelente para trabajar las piernas y los flexores de la cadera, lo que lo convierte en un calentamiento favorito para los atletas que necesitan explotar verticalmente."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Expansión del zurdo,"La expansión del zurdo es un movimiento de cuerpo completo que combina elementos de una tabla de un solo brazo y una expansión. También tiene un componente de rotación, con un giro de cruce de piernas y torso en una posición de tablón de un solo brazo. Es un movimiento desafiante que los trenes se equilibran, la fuerza central y muchos grupos musculares, lo que hace que funcione bien en un entrenamiento de circuito de peso corporal con eficiencia de tiempo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Patada de rana de expansión,"La patada de rana expansiva es un ejercicio explosivo de peso corporal que se dirige a múltiples grupos musculares en la parte superior e inferior del cuerpo. Es similar a una expansión tradicional, pero con un salto adicional en el medio de cada representante. Se puede realizar para tiempo o representantes en cualquier circuito o entrenamiento centrado en la pérdida de grasa o atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Chapoteo,"La sentadilla pop es un ejercicio explosivo de peso corporal que se dirige a los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales. Es similar a una sentadilla de salto, pero se alterna entre una postura estrecha y amplia con cada salto. Se puede realizar para el tiempo o los representantes en el entrenamiento de energía y también es efectivo en cualquier entrenamiento centrado en la pérdida de grasa o el atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,0,Patada del tacón de salto,"La patada del talón de salto de salto es un ejercicio de alta intensidad y cuerpo completo dirigido a los quads, los glúteos y los isquiotibiales. Combina una estocada de salto con un estiramiento de los isquiotibiales de pie en un combo único que también desafía el equilibrio. Se puede realizar para el tiempo o los representantes como parte de un circuito o entrenamiento centrado en la pérdida de grasa o atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,0,Burpee Box Jump,"El salto Burpee Box es un ejercicio explosivo de peso corporal que combina un burpee con un salto a una caja o paso. Primero, realiza un burpee tradicional, y luego en lugar de saltar al aire, saltas a una caja. Esto te hace concentrarte en la generación de energía en el salto, lo que hace que cada representante sea más desafiante. Los saltos Burpee Box a menudo se realizan para altas repeticiones como parte de los circuitos o entrenamientos de acondicionamiento metabólico."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Corriendo,"La estocada en funcionamiento es un ejercicio dinámico que se dirige a la parte inferior del cuerpo. Combina elementos de una estocada inversa con un paso hacia arriba, ya que la pierna delantera se extiende completamente y la pata trasera se flexiona frente al cuerpo. Se dirige a una amplia gama de músculos en la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales. Se puede realizar para el tiempo o los representantes en cualquier entrenamiento de la parte inferior del cuerpo, o en un circuito centrado en la pérdida de grasa o el atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Squat de salto de inicio,"La sentadilla de salto en contra es una variación de sentadillas de peso corporal que alterna las sentadillas de salto anchas y estrechas. Se dirige a los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos, los aductores y los isquiotibiales, y también proporciona un desafío cardiovascular serio. Se puede realizar para tiempo o repeticiones y es especialmente efectivo en un circuito o entrenamiento centrado en la pérdida de grasa o atletismo."
Plyometrics,Quadriceps,Body Only,Intermediate,1,Cuclillas de gorila,"La sentadilla de gorila es una secuencia de peso corporal que combina dos estocadas inversas y una sentadilla de peso corporal. También podría realizarse con pesas, pesas rusas u otros pesos. Se dirige a la mayoría de los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales. Se puede realizar para el tiempo o los representantes en la parte inferior del cuerpo de cualquier entrenamiento."
Plyometrics,Quadriceps,Body Only,Intermediate,0,Burpee Tuck Jump,El Burpee Tuck Jump es una versión explosiva del ejercicio Burpee que agrega un salto a la parte superior de cada representante. Se puede realizar para tiempo o representantes en cualquier circuito o entrenamiento centrado en la pérdida de grasa o atletismo.
Plyometrics,Quadriceps,Body Only,Intermediate,1,Patinador de velocidad,"El patinador Speed ​​es una versión explosiva de la estocada lateral que implica saltar de lado a lado y aterrizar sobre una sola pierna, y luego tocar el suelo. Desafía los músculos de la parte inferior del cuerpo, incluidos los quads, las caderas y los glúteos, y el sistema cardiovascular, mientras entrenan el movimiento lateral."
Plyometrics,Quadriceps,Body Only,Intermediate,0,Saltar rodando hacia arriba,"La rodilla saltando hacia arriba es un movimiento explosivo de peso corporal que consiste en una rodilla hacia arriba seguido de una sentadilla de salto. Se dirige a los músculos de la parte inferior del cuerpo, incluidos los quads, los glúteos y los isquiotibiales, pero también es un ejercicio de potencia y acondicionamiento desafiante."
Plyometrics,Quadriceps,Body Only,Expert,1,Soltura isométrica en cuclillas,"La sentadilla de hack es un ejercicio basado en máquinas que se dirige a los músculos de las piernas, particularmente los cuádriceps. A menudo se usa como accesorio para sentadillas, pero también puede ser el movimiento principal de la parte inferior del cuerpo en un entrenamiento. A menudo se realiza para repeticiones moderadas a altas, como 8-12 repeticiones por set o más."
Plyometrics,Quadriceps,Medicine Ball,Intermediate,1,Medicine Ball Ninja,"El Ninja Medicine Ball es un movimiento dinámico de la pelota de medicamentos que desafía tanto el cuerpo superior como la parte inferior, al tiempo que eleva la frecuencia cardíaca. Es un gran movimiento para incluir en la pelota medicinal o el entrenamiento de circuitos de peso corporal para aumentar la fatiga y quemar calorías graves mientras multa los músculos de las piernas."
Plyometrics,Quadriceps,,Intermediate,1,Salto lateral con mancuernas para correr,"El lúpulo lateral de la mancuerna es un ejercicio explosivo de varias partes que combina lúpulo ponderado con sprint ponderado. Agregar pesas agrega un desafío al núcleo y los hombros. Debido a que el equilibrio puede ser un desafío, generalmente se realiza con pesos relativamente livianos, a menudo como un componente de la pérdida de grasa o el entrenamiento atlético."
Plyometrics,Quadriceps,Exercise Ball,Intermediate,1,Bola de pared tirar,"El lanzamiento de la bola de pared es un ejercicio explosivo de cuerpo completo que utiliza una bola de medicina. Implica ponerse en cuclillas hacia abajo, luego presionar explosivamente una bola ponderada en el aire y atraparla en un rebote de una superficie vertical. Es común en los entrenamientos CrossFit y se puede realizar para el tiempo o las repeticiones."
Plyometrics,Shoulders,Body Only,Intermediate,1,Expansión de la pared,"La expansión de la pared es un ejercicio de peso corporal dirigido a los hombros, aunque muchos otros músculos se reclutan para completar el ejercicio. Desde una posición de cuatro cuatro, subes a la pared y luego retrocede. Es un desafío cardiovascular serio que generalmente se realiza como parte de un entrenamiento centrado en la pérdida de grasa o el atletismo."
Plyometrics,Shoulders,Medicine Ball,Intermediate,1,Bola de medicina SCOOP,"El lanzamiento de la bola de medicina es un ejercicio explosivo dirigido a los abdominales y las caderas. Se puede realizar para repeticiones más bajas con un enfoque en la potencia o para repeticiones más altas con un enfoque en la pérdida de grasa y el acondicionamiento. Comienza en una posición semi-squat sosteniendo una bola de medicina, que luego se ""recoge"" y se arroja por encima en un movimiento continuo."
Strength,Abdominals,Bands,Intermediate,1,Fila de banda de tablones de socio,La fila de la banda de tablones de pareja es un ejercicio abdominal donde dos socios realizan tablas de un solo brazo mientras se tiran de los extremos opuestos de una banda de ejercicios. Esta técnica se puede hacer para el tiempo o los representantes en cualquier entrenamiento enfocado en AB.
Strength,Abdominals,Bands,Intermediate,1,Hold isométrica crujiente con bandas,"La bodega isométrica crujiente con bandas es un ejercicio dirigido a los músculos abdominales, particularmente el recto abdominis o los músculos de ""seis paquetes"". La banda agrega resistencia y tensión continua a este ejercicio popular."
Strength,Abdominals,Bands,Intermediate,0,Jack de tablones con bandas de fyr,"El tablón con bandas es una variación en la tabla que implica mover las piernas dentro y fuera para repeticiones. Tener una banda alrededor de los muslos obliga a la parte inferior del cuerpo a trabajar más duro, particularmente las caderas y los glúteos. El conector de tablones se realiza comúnmente como parte de un circuito de peso corporal, o como parte de un calentamiento dinámico."
Strength,Abdominals,Bands,Intermediate,1,Crujido de bandas,"El crujido de bandas es un ejercicio dirigido a los músculos abdominales, particularmente los músculos rectos abdominales o ""seis paquetes"". La banda agrega resistencia y tensión continua a este ejercicio popular."
Strength,Abdominals,Bands,Intermediate,1,Crujido,"El Crunch es un ejercicio de núcleo popular dirigido al recto abdomino, o músculos de ""seis paquetes"", así como los oblicuos. Ha sido la pieza central de muchos entrenamientos centrados en AB, debido a su simplicidad y la intensa conexión de quemaduras y músculos mental que produce. Se puede realizar para el tiempo o los representantes como parte de la parte centrada en AB de cualquier entrenamiento."
Strength,Abdominals,Bands,Intermediate,1,Decline Band Press Set-up,"El Set-Up de Decline Band Press es un ejercicio de núcleo ponderado que funciona con los músculos Rectus Abdominis o ""Six Pack"", así como los músculos del núcleo profundo. También grava los músculos de los hombros y la parte superior de la espalda. Las variaciones de abuso con resistencia adicional generalmente se realizan para repeticiones moderadas a altas, como 8-12 repeticiones por conjunto o más, como parte de la parte centrada en el núcleo de un entrenamiento."
Strength,Abdominals,Bands,Intermediate,1,Banda de bajo a altura,"La banda baja a alta giro es un ejercicio central dirigido a los abdominales superiores y los oblicuos. Tenga cuidado de realizarlo con control, ya que la torsión rápida y no controlada puede dañar la columna vertebral. Por lo general, se realiza para repeticiones moderadas a altas, al menos 8-15 por lado, como parte de la parte centrada en el núcleo de un entrenamiento."
Strength,Abdominals,Barbell,Intermediate,1,Despliegue de barra,"El despliegue de Barbell es un ejercicio abdominal que utiliza una barra en el lugar de un rodillo AB. Se realiza mejor con una barra que tiene collares giratorios, y se considera más difícil que otras variaciones de Roller AB. Es posible que muchos levantadores no puedan realizar una sola repetición al principio, pero una vez que puedan realizarlos para representantes, serán recompensados ​​con un núcleo muy fuerte."
